# eta lambda l= m to 9 (computed with gyre.eval_lambda)
1.00000 4.8801052454e+00 1.2938061064e+01 2.5685823586e+01 4.3252204779e+01 6.5687331680e+01 9.3015059164e+01 1.2524841953e+02 1.6239525920e+02
1.02000 4.8684644967e+00 1.3005920162e+01 2.5986605227e+01 4.3984787765e+01 6.7082753648e+01 9.5329089517e+01 1.2875691032e+02 1.6739096877e+02
1.04000 4.8570668926e+00 1.3075498390e+01 2.6296680609e+01 4.4745027999e+01 6.8538965362e+01 9.7755121543e+01 1.3244943643e+02 1.7266582597e+02
1.06000 4.8459061455e+00 1.3146787999e+01 2.6616151687e+01 4.5533378333e+01 7.0056999785e+01 1.0029478153e+02 1.3632779176e+02 1.7822070487e+02
1.08000 4.8349761566e+00 1.3219781102e+01 2.6945113759e+01 4.6350244448e+01 7.1637695440e+01 1.0294912219e+02 1.4039241796e+02 1.8405376148e+02
1.10000 4.8242710089e+00 1.3294469653e+01 2.7283654959e+01 4.7195981101e+01 7.3281684347e+01 1.0571860491e+02 1.4464241894e+02 1.9016060278e+02
1.12000 4.8137849613e+00 1.3370845428e+01 2.7631855800e+01 4.8070889098e+01 7.4989385184e+01 1.0860310513e+02 1.4907564815e+02 1.9653463218e+02
1.14000 4.8035124422e+00 1.3448900011e+01 2.7989788780e+01 4.8975213103e+01 7.6761002197e+01 1.1160194120e+02 1.5368886134e+02 2.0316752778e+02
1.16000 4.7934480440e+00 1.3528624778e+01 2.8357518058e+01 4.9909140378e+01 7.8596530035e+01 1.1471392485e+02 1.5847791899e+02 2.1004979013e+02
1.18000 4.7835865174e+00 1.3610010892e+01 2.8735099202e+01 5.0872800504e+01 8.0495764307e+01 1.1793742912e+02 1.6343801737e+02 2.1717129174e+02
1.20000 4.7739227658e+00 1.3693049287e+01 2.9122579019e+01 5.1866266110e+01 8.2458317288e+01 1.2127046864e+02 1.6856392550e+02 2.2452177061e+02
1.22000 4.7644518409e+00 1.3777730669e+01 2.9519995465e+01 5.2889554576e+01 8.4483637869e+01 1.2471078581e+02 1.7385020759e+02 2.3209122954e+02
1.24000 4.7551689368e+00 1.3864045509e+01 2.9927377646e+01 5.3942630651e+01 8.6571034601e+01 1.2825593695e+02 1.7929141584e+02 2.3987022553e+02
1.26000 4.7460693862e+00 1.3951984042e+01 3.0344745894e+01 5.5025409894e+01 8.8719700586e+01 1.3190337319e+02 1.8488224487e+02 2.4785005236e+02
1.28000 4.7371486551e+00 1.4041536270e+01 3.0772111929e+01 5.6137762788e+01 9.0928738933e+01 1.3565051204e+02 1.9061764510e+02 2.5602283234e+02
1.30000 4.7284023391e+00 1.4132691961e+01 3.1209479109e+01 5.7279519392e+01 9.3197187614e+01 1.3949479736e+02 1.9649289768e+02 2.6438153816e+02
1.32000 4.7198261585e+00 1.4225440659e+01 3.1656842732e+01 5.8450474358e+01 9.5524042764e+01 1.4343374668e+02 2.0250365628e+02 2.7291996674e+02
1.34000 4.7114159548e+00 1.4319771685e+01 3.2114190430e+01 5.9650392143e+01 9.7908279665e+01 1.4746498612e+02 2.0864596269e+02 2.8163268327e+02
1.36000 4.7031676867e+00 1.4415674151e+01 3.2581502599e+01 6.0879012254e+01 1.0034887097e+02 1.5158627417e+02 2.1491624322e+02 2.9051494999e+02
1.38000 4.6950774261e+00 1.4513136967e+01 3.3058752890e+01 6.2136054384e+01 1.0284480193e+02 1.5579551576e+02 2.2131129207e+02 2.9956264954e+02
1.40000 4.6871413548e+00 1.4612148853e+01 3.3545908739e+01 6.3421223311e+01 1.0539508259e+02 1.6009076867e+02 2.2782824674e+02 3.0877220942e+02
1.42000 4.6793557608e+00 1.4712698354e+01 3.4042931919e+01 6.4734213456e+01 1.0799875718e+02 1.6447024399e+02 2.3446455932e+02 3.1814053125e+02
1.44000 4.6717170352e+00 1.4814773850e+01 3.4549779118e+01 6.6074713034e+01 1.1065491090e+02 1.6893230221e+02 2.4121796637e+02 3.2766492672e+02
1.46000 4.6642216687e+00 1.4918363576e+01 3.5066402525e+01 6.7442407743e+01 1.1336267440e+02 1.7347544645e+02 2.4808645926e+02 3.3734306076e+02
1.48000 4.6568662487e+00 1.5023455633e+01 3.5592750408e+01 6.8836983975e+01 1.1612122648e+02 1.7809831390e+02 2.5506825598e+02 3.4717290203e+02
1.50000 4.6496474562e+00 1.5130038009e+01 3.6128767695e+01 7.0258131543e+01 1.1892979520e+02 1.8279966617e+02 2.6216177515e+02 3.5715268004e+02
1.52000 4.6425620631e+00 1.5238098593e+01 3.6674396529e+01 7.1705545940e+01 1.2178765778e+02 1.8757837938e+02 2.6936561236e+02 3.6728084842e+02
1.54000 4.6356069289e+00 1.5347625195e+01 3.7229576804e+01 7.3178930161e+01 1.2469413964e+02 1.9243343432e+02 2.7667851911e+02 3.7755605340e+02
1.56000 4.6287789988e+00 1.5458605562e+01 3.7794246670e+01 7.4677996123e+01 1.2764861276e+02 1.9736390689e+02 2.8409938396e+02 3.8797710704e+02
1.58000 4.6220753005e+00 1.5571027397e+01 3.8368343009e+01 7.6202465725e+01 1.3065049361e+02 2.0236895918e+02 2.9162721608e+02 3.9854296436e+02
1.60000 4.6154929417e+00 1.5684878377e+01 3.8951801867e+01 7.7752071602e+01 1.3369924077e+02 2.0744783111e+02 2.9926113063e+02 4.0925270385e+02
1.62000 4.6090291081e+00 1.5800146167e+01 3.9544558862e+01 7.9326557600e+01 1.3679435244e+02 2.1259983276e+02 3.0700033610e+02 4.2010551092e+02
1.64000 4.6026810609e+00 1.5916818446e+01 4.0146549536e+01 8.0925679038e+01 1.3993536388e+02 2.1782433742e+02 3.1484412319e+02 4.3110066366e+02
1.66000 4.5964461341e+00 1.6034882912e+01 4.0757709681e+01 8.2549202775e+01 1.4312184481e+02 2.2312077523e+02 3.2279185508e+02 4.4223752082e+02
1.68000 4.5903217330e+00 1.6154327312e+01 4.1377975620e+01 8.4196907135e+01 1.4635339698e+02 2.2848862748e+02 3.3084295899e+02 4.5351551141e+02
1.70000 4.5843053318e+00 1.6275139445e+01 4.2007284454e+01 8.5868581712e+01 1.4962965174e+02 2.3392742150e+02 3.3899691875e+02 4.6493412583e+02
